prediction;test_price
33.4;32.01
33.4;31.85
32.4;29.91
31.75;31.42
30.45;28.56
30.87;29.08
29.52;29.96
29.25;30.47
29.63;30.26
30.04;30.21
29.98;29.47
30.2;28.84
29.66;28.99
29.21;29.07
29.02;29.44
29.04;28.98
29.29;29.34
28.97;30.02
28.86;30.41
29.13;30.84
29.69;30.22
30.06;29.39
29.81;28.76
29.09;29.54
28.67;28.93
28.82;28.11
28.84;28.33
28.14;28.48
28.29;29.24
28.19;29.83
28.84;29.8
29.29;29.44
29.52;29.26
29.12;28.32
29.11;26.76
28.57;27.01
27.55;27.44
27.32;28.21
27.5;27.6
28.03;27.75
27.88;27.31
27.92;26.26
27.81;27.04
26.94;28.53
27.1;29.0
28.22;28.7
28.7;29.88
28.67;29.53
29.43;30.57
29.18;30.38
29.77;31.21
30.0;30.23
30.5;30.73
30.14;30.43
30.34;30.64
30.26;31.84
30.07;32.03
30.98;31.25
31.56;31.74
31.2;32.85
31.45;32.79
32.1;31.58
32.2;30.42
31.43;30.85
30.77;31.72
31.07;31.47
31.68;31.83
31.66;31.95
31.83;30.6
31.73;31.36
30.99;33.23
31.31;32.7
32.43;33.0
32.62;32.17
32.69;31.83
32.45;32.26
31.76;31.08
32.21;30.8
31.42;30.24
30.96;30.34
30.28;30.85
30.21;30.79
30.51;32.46
30.51;32.59
31.65;33.15
31.97;33.45
32.13;33.35
32.56;33.59
32.72;32.52
32.86;33.1
32.14;33.18
32.16;32.9
32.19;32.37
32.16;32.4
31.95;32.52
32.18;31.99
31.72;33.3
31.47;33.39
32.1;34.02
32.42;34.71
32.93;34.63
33.6;34.29
33.84;34.72
33.42;34.52
33.9;35.27
34.14;35.77
35.14;36.37
35.54;36.74
35.92;36.6
36.13;36.49
36.03;35.63
36.24;35.66
35.64;35.35
35.32;35.43
35.03;35.92
34.91;36.31
35.01;36.19
35.66;36.14
35.99;36.14
35.99;36.42
35.87;36.23
36.15;36.14
36.2;35.9
35.82;35.81
35.45;36.21
35.37;35.82
35.5;36.83
35.43;37.25
35.79;37.73
36.43;38.0
36.83;38.23
37.03;38.16
37.43;38.47
37.23;38.3
37.75;37.98
37.62;38.24
37.77;38.44
37.56;38.27
37.97;38.0
37.55;38.19
37.61;38.03
37.58;38.34
37.65;38.6
37.8;38.66
38.27;39.03
38.44;39.0
38.86;39.31
38.99;38.67
39.03;38.44
38.49;38.69
38.09;38.89
38.44;38.98
38.45;40.52
38.52;40.03
39.45;40.02
39.47;39.76
39.38;39.99
39.11;39.81
39.19;39.84
39.17;39.86
39.08;40.19
39.15;40.86
38.95;40.65
39.64;40.06
39.74;39.6
39.34;40.31
38.97;40.36
39.4;39.86
39.3;39.52
38.93;39.66
38.53;38.77
38.48;37.74
37.88;38.09
37.3;38.81
37.34;38.53
37.99;38.35
38.14;39.29
38.17;39.12
38.8;38.74
38.86;38.99
38.8;38.68
38.78;38.83
38.29;39.31
38.42;39.92
38.6;39.91
39.12;39.69
39.18;40.32
39.4;40.09
40.13;40.33
39.94;39.52
40.01;40.34
39.37;40.79
39.32;41.45
39.62;41.69
40.18;41.95
40.42;41.59
40.82;41.44
41.11;41.5
41.0;40.81
40.77;40.33
40.36;40.87
40.03;40.87
39.83;40.7
40.09;40.91
40.08;40.97
40.03;41.87
40.06;41.61
40.76;42.08
40.94;40.88
40.89;40.89
40.21;41.28
40.29;41.92
40.64;42.01
41.31;42.57
41.46;42.17
41.85;42.7
42.04;42.56
42.67;43.44
42.87;43.35
43.3;43.36
43.33;43.74
43.07;43.94
43.13;43.64
43.3;43.7
43.41;42.99
43.33;43.55
42.91;44.07
43.21;44.03
43.88;44.65
43.86;44.85
44.26;44.73
44.45;44.29
44.28;44.23
43.95;44.19
43.83;43.6
43.88;43.52
43.39;43.65
43.04;44.37
43.03;44.06
43.35;45.43
43.54;45.43
44.47;45.1
44.67;44.73
44.29;44.17
43.88;44.34
43.41;44.47
43.29;45.77
43.38;45.98
44.25;45.85
44.56;45.24
44.56;44.95
44.03;45.09
44.01;45.82
44.02;45.71
44.45;45.86
44.37;46.48
44.52;46.0
45.04;45.71
44.81;45.9
44.42;45.75
44.2;45.93
43.85;46.26
43.91;46.46
44.16;46.45
44.87;45.7
45.1;45.72
44.53;45.27
44.39;45.63
44.03;45.69
44.34;45.69
44.06;46.07
43.82;45.5
44.05;45.54
43.73;45.72
43.76;46.76
44.15;47.75
44.91;47.63
45.84;47.43
45.65;47.47
45.47;47.6
45.44;48.43
45.67;48.2
46.12;48.01
46.01;47.78
45.85;48.52
45.66;48.48
46.13;48.56
46.54;48.72
46.54;48.37
46.63;47.82
46.31;48.41
45.85;48.13
46.0;47.94
46.26;47.54
46.28;48.31
45.71;48.45
46.08;48.77
46.52;48.18
46.77;47.42
46.58;47.15
45.66;46.35
45.15;46.58
44.54;46.76
44.6;47.17
44.75;48.14
44.79;48.26
45.38;47.78
45.59;47.68
45.29;46.73
45.4;46.63
44.99;46.27
44.45;46.11
44.05;45.22
43.98;45.83
43.57;45.9
43.66;46.33
43.52;46.47
43.78;46.11
43.85;46.07
43.72;43.33
43.59;43.69
42.08;44.15
41.65;43.43
41.9;43.7
41.72;43.66
41.85;44.11
41.9;44.6
42.16;44.82
42.35;45.35
42.54;45.14
42.54;44.74
42.51;45.3
42.3;45.78
42.61;45.72
43.11;45.38
43.43;45.39
43.33;45.66
42.94;45.86
43.1;46.03
43.18;46.09
43.17;46.25
43.22;46.4
43.72;45.91
44.01;45.5
43.72;46.07
43.21;46.95
43.63;46.68
43.84;47.61
43.8;46.74
44.7;46.63
44.45;46.6
44.26;46.3
44.4;45.95
43.87;46.54
43.84;47.77
44.0;47.87
44.87;48.79
45.04;47.65
45.47;47.45
44.99;47.47
44.56;47.48
44.61;47.28
44.77;47.29
44.94;47.76
44.79;48.17
45.01;48.99
45.47;48.93
46.07;49.29
46.12;50.43
46.19;50.43
47.03;50.83
47.04;50.82
47.53;50.47
48.0;50.28
47.73;50.37
47.54;51.03
47.59;50.39
47.87;50.75
47.65;50.97
47.84;50.82
47.84;51.1
47.61;51.18
47.7;51.37
48.02;51.38
48.21;51.3
48.41;51.98
48.33;52.1
48.95;51.04
48.91;50.64
48.36;50.71
48.07;50.1
47.99;50.39
47.96;50.93
47.95;51.03
48.26;51.72
48.16;52.16
48.47;52.8
48.76;52.69
49.07;52.65
49.22;53.65
49.34;53.9
49.68;53.39
50.07;53.6
50.12;53.98
50.15;53.83
50.31;53.12
50.08;52.64
49.8;53.23
49.21;52.64
49.19;53.08
48.92;52.54
49.0;52.94
48.83;52.79
49.05;53.1
49.37;52.99
49.55;53.71
49.59;53.52
50.17;53.83
50.07;53.94
50.42;54.98
50.62;55.28
51.63;56.19
51.98;56.6
52.51;56.6
52.67;55.04
52.65;56.79
51.61;56.72
52.41;56.08
52.68;57.55
52.15;57.97
52.78;58.51
53.27;57.9
53.76;57.96
53.73;57.84
53.5;58.89
53.32;58.74
54.04;59.09
54.11;59.71
54.22;60.57
54.35;60.82
55.16;61.76
55.44;61.69
56.31;62.32
56.54;62.82
57.27;62.93
57.62;63.07
57.61;63.26
57.48;62.14
57.5;62.24
56.8;61.81
56.78;61.54
56.27;61.29
55.86;60.98
55.43;61.22
55.47;62.34
55.7;61.94
56.36;60.43
56.69;58.97
55.66;59.64
54.61;60.15
54.44;59.0
54.92;59.02
54.51;60.62
54.24;59.67
55.0;59.64
55.19;58.88
54.79;60.11
54.5;59.64
55.08;60.28
54.69;61.03
54.53;60.14
54.89;57.94
54.47;58.64
53.51;58.37
53.68;58.49
53.57;59.09
53.57;59.57
54.05;59.03
54.16;59.76
53.66;59.14
53.83;59.46
53.46;59.66
53.45;60.49
53.88;60.71
55.12;60.68
55.29;62.24
55.45;62.61
56.47;61.63
56.74;60.79
56.18;61.1
55.64;61.53
55.65;60.91
55.58;60.2
55.44;60.25
54.71;60.43
54.61;60.34
54.64;60.74
54.82;60.4
54.92;60.0
54.66;60.43
54.4;61.1
54.84;62.17
55.28;61.72
56.15;62.68
56.06;61.61
56.54;61.46
56.06;60.51
56.05;59.76
55.36;59.81
54.55;59.79
54.3;58.31
54.25;58.12
53.48;57.8
53.26;57.85
53.68;57.15
53.77;57.62
53.03;57.7
53.11;57.35
53.09;56.73
52.41;56.84
52.38;57.1
52.35;56.86
52.6;56.96
52.58;57.13
52.86;57.3
53.05;57.39
53.21;57.57
53.11;58.73
53.25;59.77
53.48;61.22
54.7;62.34
55.8;62.58
56.65;62.61
57.02;62.73
57.28;61.43
57.35;60.77
56.73;60.53
56.18;60.13
55.63;60.25
54.73;60.99
54.64;60.94
55.21;60.28
55.19;60.6
54.81;60.65
54.89;59.85
54.66;61.04
53.9;60.38
